FIPS,County,State,Condition,Urban/Rural,Total,Total No. of Beneficiaries,White,No. of Beneficiaries Who are White,Black,No. of Beneficiaries Who are Black,Asian/Pacific Islander,No. of Beneficiaries Who are Asian/Pacific Islander,Hispanic,No. of Beneficiaries Who are Hispanic,American Indian/Alaska Native,No. of Beneficiaries Who are American Indian/Alaska Native,Other,No. of Beneficiaries Who are in Other Ethic Groups
04025,YAVAPAI,AZ,Chronic Obstructive Pulmonary Disease,Urban,10,"[10,000+]",11,"[10,000+]",9,[11-499],6,[11-499],8,"[1,000-4,999]",9,[11-499],6,[11-499]
04027,YUMA,AZ,Chronic Obstructive Pulmonary Disease,Urban,12,"[10,000+]",15,"[10,000+]",15,[11-499],9,[11-499],5,"[5,000-9,999]",6,[11-499],9,[11-499]
04990,STATEWIDE,AZ,Chronic Obstructive Pulmonary Disease,Rural,0,[11-499],0,[11-499],*,*,*,*,*,*,*,*,*,*
05001,ARKANSAS,AR,Chronic Obstructive Pulmonary Disease,Rural,12,"[1,000-4,999]",12,"[1,000-4,999]",10,[500-999],0,[11-499],*,*,*,*,*,*
05003,ASHLEY,AR,Chronic Obstructive Pulmonary Disease,Rural,12,"[1,000-4,999]",13,"[1,000-4,999]",7,[500-999],*,*,9,[11-499],*,*,*,*
05005,BAXTER,AR,Chronic Obstructive Pulmonary Disease,Rural,12,"[10,000+]",12,"[5,000-9,999]",*,*,12,[11-499],10,[11-499],19,[11-499],0,[11-499]
05007,BENTON,AR,Chronic Obstructive Pulmonary Disease,Urban,12,"[10,000+]",12,"[10,000+]",12,[11-499],4,[11-499],3,[500-999],14,[11-499],6,[11-499]
05009,BOONE,AR,Chronic Obstructive Pulmonary Disease,Rural,15,"[5,000-9,999]",15,"[5,000-9,999]",*,*,0,[11-499],7,[11-499],25,[11-499],27,[11-499]
05011,BRADLEY,AR,Chronic Obstructive Pulmonary Disease,Rural,12,"[1,000-4,999]",14,"[1,000-4,999]",7,[500-999],*,*,0,[11-499],*,*,*,*
05013,CALHOUN,AR,Chronic Obstructive Pulmonary Disease,Rural,14,[500-999],15,[500-999],9,[11-499],*,*,*,*,*,*,*,*
05015,CARROLL,AR,Chronic Obstructive Pulmonary Disease,Rural,11,"[1,000-4,999]",11,"[1,000-4,999]",*,*,0,[11-499],6,[11-499],24,[11-499],20,[11-499]
05017,CHICOT,AR,Chronic Obstructive Pulmonary Disease,Rural,14,"[1,000-4,999]",15,"[1,000-4,999]",12,[500-999],*,*,0,[11-499],*,*,*,*
05019,CLARK,AR,Chronic Obstructive Pulmonary Disease,Rural,11,"[1,000-4,999]",12,"[1,000-4,999]",5,[500-999],*,*,0,[11-499],*,*,*,*
05021,CLAY,AR,Chronic Obstructive Pulmonary Disease,Rural,15,"[1,000-4,999]",15,"[1,000-4,999]",*,*,*,*,0,[11-499],*,*,*,*
05023,CLEBURNE,AR,Chronic Obstructive Pulmonary Disease,Rural,13,"[5,000-9,999]",13,"[5,000-9,999]",*,*,0,[11-499],0,[11-499],*,*,*,*
05025,CLEVELAND,AR,Chronic Obstructive Pulmonary Disease,Urban,13,"[1,000-4,999]",13,"[1,000-4,999]",9,[11-499],*,*,*,*,*,*,*,*
05027,COLUMBIA,AR,Chronic Obstructive Pulmonary Disease,Rural,11,"[1,000-4,999]",12,"[1,000-4,999]",8,"[1,000-4,999]",*,*,0,[11-499],*,*,*,*
05029,CONWAY,AR,Chronic Obstructive Pulmonary Disease,Rural,12,"[1,000-4,999]",13,"[1,000-4,999]",8,[11-499],*,*,11,[11-499],*,*,*,*
05031,CRAIGHEAD,AR,Chronic Obstructive Pulmonary Disease,Urban,13,"[10,000+]",14,"[10,000+]",9,[500-999],6,[11-499],13,[11-499],*,*,8,[11-499]
05033,CRAWFORD,AR,Chronic Obstructive Pulmonary Disease,Urban,14,"[5,000-9,999]",14,"[5,000-9,999]",10,[11-499],5,[11-499],9,[11-499],13,[11-499],0,[11-499]
05035,CRITTENDEN,AR,Chronic Obstructive Pulmonary Disease,Urban,11,"[5,000-9,999]",13,"[1,000-4,999]",8,"[1,000-4,999]",0,[11-499],0,[11-499],*,*,0,[11-499]
05037,CROSS,AR,Chronic Obstructive Pulmonary Disease,Rural,13,"[1,000-4,999]",14,"[1,000-4,999]",8,[11-499],*,*,*,*,*,*,*,*
05039,DALLAS,AR,Chronic Obstructive Pulmonary Disease,Rural,12,"[1,000-4,999]",13,[500-999],7,[11-499],*,*,*,*,*,*,*,*
05041,DESHA,AR,Chronic Obstructive Pulmonary Disease,Rural,12,"[1,000-4,999]",15,"[1,000-4,999]",8,[500-999],*,*,0,[11-499],*,*,*,*
05043,DREW,AR,Chronic Obstructive Pulmonary Disease,Rural,14,"[1,000-4,999]",16,"[1,000-4,999]",9,[500-999],*,*,*,*,*,*,*,*
05045,FAULKNER,AR,Chronic Obstructive Pulmonary Disease,Urban,12,"[10,000+]",13,"[10,000+]",8,[500-999],9,[11-499],14,[11-499],17,[11-499],0,[11-499]
05047,FRANKLIN,AR,Chronic Obstructive Pulmonary Disease,Urban,13,"[1,000-4,999]",13,"[1,000-4,999]",*,*,0,[11-499],14,[11-499],0,[11-499],*,*
05049,FULTON,AR,Chronic Obstructive Pulmonary Disease,Rural,18,"[1,000-4,999]",18,"[1,000-4,999]",*,*,*,*,*,*,*,*,*,*
05051,GARLAND,AR,Chronic Obstructive Pulmonary Disease,Urban,12,"[10,000+]",12,"[10,000+]",10,[500-999],3,[11-499],12,[11-499],13,[11-499],5,[11-499]
05053,GRANT,AR,Chronic Obstructive Pulmonary Disease,Urban,14,"[1,000-4,999]",15,"[1,000-4,999]",7,[11-499],*,*,0,[11-499],*,*,*,*
05055,GREENE,AR,Chronic Obstructive Pulmonary Disease,Rural,15,"[5,000-9,999]",15,"[5,000-9,999]",0,[11-499],0,[11-499],13,[11-499],*,*,0,[11-499]
05057,HEMPSTEAD,AR,Chronic Obstructive Pulmonary Disease,Rural,15,"[1,000-4,999]",16,"[1,000-4,999]",10,[500-999],*,*,10,[11-499],*,*,*,*
05059,HOT SPRING,AR,Chronic Obstructive Pulmonary Disease,Rural,16,"[5,000-9,999]",16,"[1,000-4,999]",14,[11-499],*,*,15,[11-499],*,*,*,*
05061,HOWARD,AR,Chronic Obstructive Pulmonary Disease,Rural,13,"[1,000-4,999]",14,"[1,000-4,999]",7,[11-499],*,*,11,[11-499],31,[11-499],*,*
05063,INDEPENDENCE,AR,Chronic Obstructive Pulmonary Disease,Rural,15,"[5,000-9,999]",15,"[5,000-9,999]",17,[11-499],0,[11-499],10,[11-499],*,*,0,[11-499]
05065,IZARD,AR,Chronic Obstructive Pulmonary Disease,Rural,14,"[1,000-4,999]",14,"[1,000-4,999]",*,*,*,*,17,[11-499],*,*,*,*
05067,JACKSON,AR,Chronic Obstructive Pulmonary Disease,Rural,21,"[1,000-4,999]",21,"[1,000-4,999]",18,[11-499],*,*,25,[11-499],*,*,*,*
05069,JEFFERSON,AR,Chronic Obstructive Pulmonary Disease,Urban,10,"[10,000+]",12,"[5,000-9,999]",6,"[1,000-4,999]",0,[11-499],16,[11-499],*,*,0,[11-499]
05071,JOHNSON,AR,Chronic Obstructive Pulmonary Disease,Rural,14,"[1,000-4,999]",14,"[1,000-4,999]",14,[11-499],0,[11-499],6,[11-499],0,[11-499],*,*
05073,LAFAYETTE,AR,Chronic Obstructive Pulmonary Disease,Rural,12,"[1,000-4,999]",14,[500-999],9,[11-499],*,*,*,*,*,*,*,*
05075,LAWRENCE,AR,Chronic Obstructive Pulmonary Disease,Rural,16,"[1,000-4,999]",16,"[1,000-4,999]",0,[11-499],*,*,*,*,*,*,*,*
05077,LEE,AR,Chronic Obstructive Pulmonary Disease,Rural,12,"[1,000-4,999]",15,[500-999],8,[500-999],*,*,*,*,*,*,*,*
05079,LINCOLN,AR,Chronic Obstructive Pulmonary Disease,Urban,13,"[1,000-4,999]",14,"[1,000-4,999]",8,[11-499],*,*,0,[11-499],*,*,*,*
05081,LITTLE RIVER,AR,Chronic Obstructive Pulmonary Disease,Rural,16,"[1,000-4,999]",17,"[1,000-4,999]",9,[11-499],*,*,17,[11-499],23,[11-499],*,*
05083,LOGAN,AR,Chronic Obstructive Pulmonary Disease,Rural,14,"[1,000-4,999]",14,"[1,000-4,999]",10,[11-499],10,[11-499],10,[11-499],25,[11-499],*,*
05085,LONOKE,AR,Chronic Obstructive Pulmonary Disease,Urban,12,"[5,000-9,999]",12,"[5,000-9,999]",7,[11-499],0,[11-499],7,[11-499],0,[11-499],13,[11-499]
05087,MADISON,AR,Chronic Obstructive Pulmonary Disease,Urban,13,"[1,000-4,999]",13,"[1,000-4,999]",*,*,*,*,9,[11-499],14,[11-499],*,*
05089,MARION,AR,Chronic Obstructive Pulmonary Disease,Rural,12,"[1,000-4,999]",12,"[1,000-4,999]",*,*,*,*,11,[11-499],31,[11-499],*,*
05091,MILLER,AR,Chronic Obstructive Pulmonary Disease,Urban,16,"[5,000-9,999]",17,"[5,000-9,999]",14,"[1,000-4,999]",0,[11-499],17,[11-499],31,[11-499],0,[11-499]
05093,MISSISSIPPI,AR,Chronic Obstructive Pulmonary Disease,Rural,16,"[5,000-9,999]",18,"[1,000-4,999]",10,"[1,000-4,999]",0,[11-499],13,[11-499],*,*,0,[11-499]
05095,MONROE,AR,Chronic Obstructive Pulmonary Disease,Rural,13,"[1,000-4,999]",15,[500-999],9,[11-499],*,*,*,*,*,*,*,*
05097,MONTGOMERY,AR,Chronic Obstructive Pulmonary Disease,Rural,13,"[1,000-4,999]",13,"[1,000-4,999]",*,*,*,*,0,[11-499],*,*,*,*
05099,NEVADA,AR,Chronic Obstructive Pulmonary Disease,Rural,14,"[1,000-4,999]",13,"[1,000-4,999]",14,[11-499],*,*,25,[11-499],*,*,*,*
05101,NEWTON,AR,Chronic Obstructive Pulmonary Disease,Rural,12,"[1,000-4,999]",12,"[1,000-4,999]",*,*,*,*,*,*,*,*,*,*
05103,OUACHITA,AR,Chronic Obstructive Pulmonary Disease,Rural,11,"[1,000-4,999]",13,"[1,000-4,999]",7,"[1,000-4,999]",*,*,21,[11-499],*,*,*,*
05105,PERRY,AR,Chronic Obstructive Pulmonary Disease,Urban,13,"[1,000-4,999]",13,"[1,000-4,999]",0,[11-499],*,*,*,*,*,*,*,*
05107,PHILLIPS,AR,Chronic Obstructive Pulmonary Disease,Rural,13,"[1,000-4,999]",16,"[1,000-4,999]",9,"[1,000-4,999]",0,[11-499],0,[11-499],*,*,*,*
05109,PIKE,AR,Chronic Obstructive Pulmonary Disease,Rural,15,"[1,000-4,999]",16,"[1,000-4,999]",9,[11-499],*,*,0,[11-499],*,*,*,*
05111,POINSETT,AR,Chronic Obstructive Pulmonary Disease,Urban,18,"[1,000-4,999]",18,"[1,000-4,999]",7,[11-499],*,*,17,[11-499],*,*,*,*
05113,POLK,AR,Chronic Obstructive Pulmonary Disease,Rural,14,"[1,000-4,999]",14,"[1,000-4,999]",*,*,*,*,14,[11-499],21,[11-499],0,[11-499]
05115,POPE,AR,Chronic Obstructive Pulmonary Disease,Rural,13,"[5,000-9,999]",13,"[5,000-9,999]",11,[11-499],5,[11-499],9,[11-499],20,[11-499],13,[11-499]
05117,PRAIRIE,AR,Chronic Obstructive Pulmonary Disease,Rural,14,"[1,000-4,999]",14,"[1,000-4,999]",6,[11-499],*,*,*,*,*,*,*,*
05119,PULASKI,AR,Chronic Obstructive Pulmonary Disease,Urban,9,"[10,000+]",10,"[10,000+]",7,"[10,000+]",3,[11-499],5,[500-999],7,[11-499],9,[11-499]
05121,RANDOLPH,AR,Chronic Obstructive Pulmonary Disease,Rural,13,"[1,000-4,999]",13,"[1,000-4,999]",0,[11-499],*,*,0,[11-499],0,[11-499],0,[11-499]
05123,ST. FRANCIS,AR,Chronic Obstructive Pulmonary Disease,Rural,12,"[1,000-4,999]",15,"[1,000-4,999]",6,"[1,000-4,999]",0,[11-499],0,[11-499],*,*,36,[11-499]
05125,SALINE,AR,Chronic Obstructive Pulmonary Disease,Urban,13,"[5,000-9,999]",13,"[5,000-9,999]",7,[11-499],8,[11-499],4,[11-499],0,[11-499],0,[11-499]
05127,SCOTT,AR,Chronic Obstructive Pulmonary Disease,Rural,15,"[1,000-4,999]",15,"[1,000-4,999]",*,*,10,[11-499],0,[11-499],0,[11-499],0,[11-499]
05129,SEARCY,AR,Chronic Obstructive Pulmonary Disease,Rural,15,"[1,000-4,999]",15,"[1,000-4,999]",*,*,*,*,*,*,*,*,*,*
05131,SEBASTIAN,AR,Chronic Obstructive Pulmonary Disease,Urban,13,"[10,000+]",14,"[10,000+]",11,[500-999],5,[11-499],9,[11-499],14,[11-499],10,[11-499]
05133,SEVIER,AR,Chronic Obstructive Pulmonary Disease,Rural,14,"[1,000-4,999]",15,"[1,000-4,999]",12,[11-499],*,*,6,[11-499],0,[11-499],*,*
05135,SHARP,AR,Chronic Obstructive Pulmonary Disease,Rural,16,"[1,000-4,999]",16,"[1,000-4,999]",*,*,*,*,17,[11-499],*,*,*,*
05137,STONE,AR,Chronic Obstructive Pulmonary Disease,Rural,17,"[1,000-4,999]",17,"[1,000-4,999]",*,*,*,*,13,[11-499],*,*,0,[11-499]
05139,UNION,AR,Chronic Obstructive Pulmonary Disease,Rural,13,"[5,000-9,999]",14,"[5,000-9,999]",9,"[1,000-4,999]",0,[11-499],25,[11-499],*,*,*,*
05141,VAN BUREN,AR,Chronic Obstructive Pulmonary Disease,Rural,12,"[1,000-4,999]",13,"[1,000-4,999]",*,*,*,*,0,[11-499],23,[11-499],*,*
05143,WASHINGTON,AR,Chronic Obstructive Pulmonary Disease,Urban,11,"[10,000+]",11,"[10,000+]",7,[11-499],4,[11-499],4,[500-999],16,[11-499],6,[11-499]
05145,WHITE,AR,Chronic Obstructive Pulmonary Disease,Rural,14,"[10,000+]",14,"[10,000+]",9,[11-499],0,[11-499],10,[11-499],16,[11-499],22,[11-499]
05147,WOODRUFF,AR,Chronic Obstructive Pulmonary Disease,Rural,16,"[1,000-4,999]",17,"[1,000-4,999]",13,[11-499],*,*,*,*,*,*,*,*
05149,YELL,AR,Chronic Obstructive Pulmonary Disease,Rural,17,"[1,000-4,999]",18,"[1,000-4,999]",17,[11-499],0,[11-499],7,[11-499],*,*,19,[11-499]
06001,ALAMEDA,CA,Chronic Obstructive Pulmonary Disease,Urban,8,"[10,000+]",8,"[10,000+]",10,"[10,000+]",6,"[10,000+]",6,"[10,000+]",12,[11-499],5,"[1,000-4,999]"
06003,ALPINE,CA,Chronic Obstructive Pulmonary Disease,Rural,4,[11-499],4,[11-499],*,*,*,*,*,*,0,[11-499],*,*
06005,AMADOR,CA,Chronic Obstructive Pulmonary Disease,Rural,9,"[5,000-9,999]",9,"[5,000-9,999]",0,[11-499],6,[11-499],6,[11-499],19,[11-499],0,[11-499]
06007,BUTTE,CA,Chronic Obstructive Pulmonary Disease,Urban,13,"[10,000+]",14,"[10,000+]",13,[500-999],5,[500-999],9,"[1,000-4,999]",16,[500-999],12,[11-499]
06009,CALAVERAS,CA,Chronic Obstructive Pulmonary Disease,Rural,9,"[10,000+]",9,"[5,000-9,999]",10,[11-499],8,[11-499],9,[500-999],13,[11-499],12,[11-499]
06011,COLUSA,CA,Chronic Obstructive Pulmonary Disease,Rural,11,"[1,000-4,999]",14,"[1,000-4,999]",8,[11-499],15,[11-499],6,[500-999],10,[11-499],0,[11-499]
06013,CONTRA COSTA,CA,Chronic Obstructive Pulmonary Disease,Urban,8,"[10,000+]",9,"[10,000+]",11,"[5,000-9,999]",5,"[5,000-9,999]",5,"[5,000-9,999]",13,[11-499],6,"[1,000-4,999]"
06015,DEL NORTE,CA,Chronic Obstructive Pulmonary Disease,Rural,13,"[5,000-9,999]",13,"[1,000-4,999]",0,[11-499],0,[11-499],8,[11-499],12,[11-499],0,[11-499]
06017,EL DORADO,CA,Chronic Obstructive Pulmonary Disease,Urban,10,"[10,000+]",10,"[10,000+]",8,[11-499],6,[11-499],6,"[1,000-4,999]",17,[11-499],7,[11-499]
06019,FRESNO,CA,Chronic Obstructive Pulmonary Disease,Urban,9,"[10,000+]",10,"[10,000+]",13,"[1,000-4,999]",6,"[1,000-4,999]",7,"[10,000+]",11,[500-999],6,[500-999]
06021,GLENN,CA,Chronic Obstructive Pulmonary Disease,Rural,13,"[1,000-4,999]",14,"[1,000-4,999]",13,[11-499],7,[11-499],7,[500-999],14,[11-499],0,[11-499]
06023,HUMBOLDT,CA,Chronic Obstructive Pulmonary Disease,Rural,10,"[10,000+]",10,"[10,000+]",15,[11-499],6,[11-499],7,[500-999],12,"[1,000-4,999]",4,[11-499]
06025,IMPERIAL,CA,Chronic Obstructive Pulmonary Disease,Urban,9,"[10,000+]",13,"[1,000-4,999]",10,[11-499],5,[11-499],8,"[10,000+]",12,[11-499],5,[11-499]
06027,INYO,CA,Chronic Obstructive Pulmonary Disease,Rural,12,"[1,000-4,999]",12,"[1,000-4,999]",*,*,0,[11-499],7,[11-499],7,[11-499],21,[11-499]
06029,KERN,CA,Chronic Obstructive Pulmonary Disease,Urban,14,"[10,000+]",16,"[10,000+]",17,"[1,000-4,999]",10,"[1,000-4,999]",10,"[10,000+]",20,[11-499],9,[500-999]
06031,KINGS,CA,Chronic Obstructive Pulmonary Disease,Urban,9,"[10,000+]",12,"[5,000-9,999]",9,[11-499],6,[11-499],6,"[1,000-4,999]",11,[11-499],3,[11-499]
06033,LAKE,CA,Chronic Obstructive Pulmonary Disease,Rural,14,"[10,000+]",15,"[10,000+]",13,[11-499],4,[11-499],9,"[1,000-4,999]",13,[11-499],6,[11-499]
06035,LASSEN,CA,Chronic Obstructive Pulmonary Disease,Rural,11,"[1,000-4,999]",11,"[1,000-4,999]",7,[11-499],0,[11-499],6,[11-499],17,[11-499],13,[11-499]
06037,LOS ANGELES,CA,Chronic Obstructive Pulmonary Disease,Urban,11,"[10,000+]",11,"[10,000+]",15,"[10,000+]",12,"[10,000+]",8,"[10,000+]",16,[500-999],9,"[10,000+]"
06039,MADERA,CA,Chronic Obstructive Pulmonary Disease,Urban,11,"[10,000+]",13,"[5,000-9,999]",15,[11-499],8,[11-499],7,"[1,000-4,999]",14,[11-499],4,[11-499]
06041,MARIN,CA,Chronic Obstructive Pulmonary Disease,Urban,6,"[10,000+]",6,"[10,000+]",8,[500-999],4,"[1,000-4,999]",4,"[1,000-4,999]",0,[11-499],4,[11-499]
06043,MARIPOSA,CA,Chronic Obstructive Pulmonary Disease,Rural,12,"[1,000-4,999]",13,"[1,000-4,999]",0,[11-499],0,[11-499],12,[11-499],11,[11-499],0,[11-499]
06045,MENDOCINO,CA,Chronic Obstructive Pulmonary Disease,Rural,9,"[10,000+]",9,"[10,000+]",8,[11-499],4,[11-499],6,"[1,000-4,999]",11,[500-999],6,[11-499]
06047,MERCED,CA,Chronic Obstructive Pulmonary Disease,Urban,12,"[10,000+]",14,"[10,000+]",14,"[1,000-4,999]",10,"[1,000-4,999]",8,"[10,000+]",14,[11-499],8,[11-499]
06049,MODOC,CA,Chronic Obstructive Pulmonary Disease,Rural,11,"[1,000-4,999]",11,"[1,000-4,999]",*,*,0,[11-499],11,[11-499],8,[11-499],38,[11-499]
06051,MONO,CA,Chronic Obstructive Pulmonary Disease,Rural,7,"[1,000-4,999]",7,"[1,000-4,999]",*,*,9,[11-499],4,[11-499],6,[11-499],0,[11-499]
06053,MONTEREY,CA,Chronic Obstructive Pulmonary Disease,Urban,8,"[10,000+]",9,"[10,000+]",10,"[1,000-4,999]",8,"[1,000-4,999]",5,"[10,000+]",15,[11-499],7,"[1,000-4,999]"
06055,NAPA,CA,Chronic Obstructive Pulmonary Disease,Urban,8,"[10,000+]",9,"[10,000+]",12,[11-499],6,[500-999],4,"[1,000-4,999]",16,[11-499],6,[11-499]
06057,NEVADA,CA,Chronic Obstructive Pulmonary Disease,Rural,9,"[10,000+]",9,"[10,000+]",9,[11-499],6,[11-499],5,[500-999],8,[11-499],7,[11-499]
06059,ORANGE,CA,Chronic Obstructive Pulmonary Disease,Urban,9,"[10,000+]",9,"[10,000+]",9,"[1,000-4,999]",10,"[10,000+]",7,"[10,000+]",13,[11-499],7,"[1,000-4,999]"
06061,PLACER,CA,Chronic Obstructive Pulmonary Disease,Urban,8,"[10,000+]",9,"[10,000+]",8,[500-999],4,"[1,000-4,999]",6,"[1,000-4,999]",9,[11-499],4,[11-499]
06063,PLUMAS,CA,Chronic Obstructive Pulmonary Disease,Rural,10,"[5,000-9,999]",9,"[1,000-4,999]",0,[11-499],0,[11-499],9,[11-499],18,[11-499],0,[11-499]
06065,RIVERSIDE,CA,Chronic Obstructive Pulmonary Disease,Urban,11,"[10,000+]",12,"[10,000+]",11,"[5,000-9,999]",7,"[5,000-9,999]",7,"[10,000+]",15,[500-999],8,"[1,000-4,999]"
06067,SACRAMENTO,CA,Chronic Obstructive Pulmonary Disease,Urban,10,"[10,000+]",11,"[10,000+]",10,"[10,000+]",7,"[10,000+]",7,"[10,000+]",11,[500-999],6,"[1,000-4,999]"
06069,SAN BENITO,CA,Chronic Obstructive Pulmonary Disease,Urban,9,"[5,000-9,999]",10,"[1,000-4,999]",15,[11-499],10,[11-499],7,"[1,000-4,999]",*,*,4,[11-499]
06071,SAN BERNARDINO,CA,Chronic Obstructive Pulmonary Disease,Urban,12,"[10,000+]",15,"[10,000+]",13,"[5,000-9,999]",8,"[5,000-9,999]",8,"[10,000+]",12,[11-499],8,"[1,000-4,999]"
06073,SAN DIEGO,CA,Chronic Obstructive Pulmonary Disease,Urban,9,"[10,000+]",9,"[10,000+]",12,"[5,000-9,999]",7,"[10,000+]",7,"[10,000+]",13,[500-999],6,"[5,000-9,999]"
06075,SAN FRANCISCO,CA,Chronic Obstructive Pulmonary Disease,Urban,8,"[10,000+]",7,"[10,000+]",11,"[5,000-9,999]",8,"[10,000+]",6,"[5,000-9,999]",10,[11-499],5,"[1,000-4,999]"
06077,SAN JOAQUIN,CA,Chronic Obstructive Pulmonary Disease,Urban,10,"[10,000+]",12,"[10,000+]",12,"[1,000-4,999]",6,"[5,000-9,999]",7,"[10,000+]",15,[11-499],7,"[1,000-4,999]"
06079,SAN LUIS OBISPO,CA,Chronic Obstructive Pulmonary Disease,Urban,8,"[10,000+]",9,"[10,000+]",8,[11-499],5,[500-999],6,"[1,000-4,999]",10,[11-499],5,[11-499]
06081,SAN MATEO,CA,Chronic Obstructive Pulmonary Disease,Urban,6,"[10,000+]",7,"[10,000+]",7,"[1,000-4,999]",4,"[5,000-9,999]",5,"[5,000-9,999]",16,[11-499],4,"[1,000-4,999]"
06083,SANTA BARBARA,CA,Chronic Obstructive Pulmonary Disease,Urban,8,"[10,000+]",8,"[10,000+]",8,"[1,000-4,999]",6,"[1,000-4,999]",6,"[10,000+]",9,[11-499],6,[500-999]
06085,SANTA CLARA,CA,Chronic Obstructive Pulmonary Disease,Urban,6,"[10,000+]",7,"[10,000+]",7,"[1,000-4,999]",5,"[10,000+]",5,"[10,000+]",11,[11-499],4,"[1,000-4,999]"
06087,SANTA CRUZ,CA,Chronic Obstructive Pulmonary Disease,Urban,6,"[10,000+]",6,"[10,000+]",6,[11-499],5,"[1,000-4,999]",4,"[5,000-9,999]",11,[11-499],4,[11-499]
06089,SHASTA,CA,Chronic Obstructive Pulmonary Disease,Urban,11,"[10,000+]",12,"[10,000+]",8,[11-499],8,[500-999],8,"[1,000-4,999]",14,[500-999],7,[11-499]
06091,SIERRA,CA,Chronic Obstructive Pulmonary Disease,Rural,9,[500-999],9,[500-999],*,*,*,*,0,[11-499],*,*,*,*
06093,SISKIYOU,CA,Chronic Obstructive Pulmonary Disease,Rural,10,"[10,000+]",10,"[10,000+]",13,[11-499],0,[11-499],7,[11-499],10,[11-499],9,[11-499]
06095,SOLANO,CA,Chronic Obstructive Pulmonary Disease,Urban,9,"[10,000+]",11,"[10,000+]",10,"[5,000-9,999]",7,"[1,000-4,999]",6,"[5,000-9,999]",18,[11-499],5,"[1,000-4,999]"
06097,SONOMA,CA,Chronic Obstructive Pulmonary Disease,Urban,9,"[10,000+]",9,"[10,000+]",8,[500-999],4,"[1,000-4,999]",6,"[1,000-4,999]",12,[11-499],6,[11-499]
06099,STANISLAUS,CA,Chronic Obstructive Pulmonary Disease,Urban,11,"[10,000+]",13,"[10,000+]",13,"[1,000-4,999]",8,"[1,000-4,999]",7,"[5,000-9,999]",12,[11-499],9,[11-499]
06101,SUTTER,CA,Chronic Obstructive Pulmonary Disease,Urban,13,"[10,000+]",15,"[10,000+]",10,[11-499],6,"[1,000-4,999]",8,"[1,000-4,999]",14,[11-499],7,[11-499]
06103,TEHAMA,CA,Chronic Obstructive Pulmonary Disease,Rural,14,"[10,000+]",14,"[10,000+]",11,[11-499],10,[11-499],9,"[1,000-4,999]",21,[11-499],13,[11-499]
06105,TRINITY,CA,Chronic Obstructive Pulmonary Disease,Rural,10,"[5,000-9,999]",10,"[5,000-9,999]",13,[11-499],0,[11-499],7,[11-499],13,[11-499],0,[11-499]
06107,TULARE,CA,Chronic Obstructive Pulmonary Disease,Urban,11,"[10,000+]",13,"[10,000+]",11,[500-999],8,"[1,000-4,999]",7,"[10,000+]",17,[11-499],8,[11-499]
06109,TUOLUMNE,CA,Chronic Obstructive Pulmonary Disease,Rural,11,"[10,000+]",11,"[10,000+]",7,[11-499],4,[11-499],11,[500-999],9,[11-499],13,[11-499]
06111,VENTURA,CA,Chronic Obstructive Pulmonary Disease,Urban,9,"[10,000+]",9,"[10,000+]",8,"[1,000-4,999]",7,"[1,000-4,999]",6,"[10,000+]",11,[11-499],7,"[1,000-4,999]"
06113,YOLO,CA,Chronic Obstructive Pulmonary Disease,Urban,8,"[10,000+]",9,"[5,000-9,999]",9,[11-499],7,"[1,000-4,999]",5,"[1,000-4,999]",14,[11-499],4,[11-499]
06115,YUBA,CA,Chronic Obstructive Pulmonary Disease,Urban,16,"[10,000+]",17,"[5,000-9,999]",12,[11-499],5,[11-499],9,"[1,000-4,999]",21,[11-499],10,[11-499]
06990,STATEWIDE,CA,Chronic Obstructive Pulmonary Disease,Rural,12,[11-499],0,[11-499],*,*,*,*,*,*,*,*,*,*
08001,ADAMS,CO,Chronic Obstructive Pulmonary Disease,Urban,11,"[10,000+]",12,"[10,000+]",11,[500-999],5,[500-999],7,"[1,000-4,999]",17,[11-499],10,[11-499]
08003,ALAMOSA,CO,Chronic Obstructive Pulmonary Disease,Rural,11,"[1,000-4,999]",12,"[1,000-4,999]",*,*,0,[11-499],10,[500-999],0,[11-499],*,*
08005,ARAPAHOE,CO,Chronic Obstructive Pulmonary Disease,Urban,9,"[10,000+]",10,"[10,000+]",8,"[1,000-4,999]",4,"[1,000-4,999]",6,"[1,000-4,999]",14,[11-499],5,[11-499]
08007,ARCHULETA,CO,Chronic Obstructive Pulmonary Disease,Rural,5,"[1,000-4,999]",5,"[1,000-4,999]",*,*,0,[11-499],7,[11-499],0,[11-499],*,*
08009,BACA,CO,Chronic Obstructive Pulmonary Disease,Rural,13,[500-999],13,[500-999],*,*,*,*,0,[11-499],*,*,*,*
08011,BENT,CO,Chronic Obstructive Pulmonary Disease,Rural,19,[500-999],20,[500-999],*,*,*,*,17,[11-499],*,*,*,*
08013,BOULDER,CO,Chronic Obstructive Pulmonary Disease,Urban,7,"[10,000+]",7,"[10,000+]",5,[11-499],5,[11-499],7,"[1,000-4,999]",10,[11-499],6,[11-499]
08014,BROOMFIELD,CO,Chronic Obstructive Pulmonary Disease,Urban,7,"[1,000-4,999]",7,"[1,000-4,999]",13,[11-499],4,[11-499],5,[11-499],*,*,0,[11-499]
08015,CHAFFEE,CO,Chronic Obstructive Pulmonary Disease,Rural,8,"[1,000-4,999]",8,"[1,000-4,999]",*,*,0,[11-499],11,[11-499],*,*,0,[11-499]
