,disparities_FIPS,disparities_County,disparities_State,disparities_Condition,disparities_Urban/Rural,disparities_Total,disparities_Total No. of Beneficiaries,disparities_White,disparities_No. of Beneficiaries Who are White,disparities_Black,disparities_No. of Beneficiaries Who are Black,disparities_Asian/Pacific Islander,disparities_No. of Beneficiaries Who are Asian/Pacific Islander,disparities_Hispanic,disparities_No. of Beneficiaries Who are Hispanic,disparities_American Indian/Alaska Native,disparities_No. of Beneficiaries Who are American Indian/Alaska Native,disparities_Other,disparities_No. of Beneficiaries Who are in Other Ethic Groups,covid_date_as_of,covid_last_week,covid_state,covid_county_name,covid_fips_county_code,covid_deaths_involving_covid_19,covid_deaths_from_all_causes,covid_Longitude,covid_Latitude
2126,39169,WAYNE,OH,Chronic Kidney Disease,Rural,24,"[10,000+]",24.0,"[10,000+]",31.0,[11-499],17.0,[11-499],25.0,[11-499],,*,23.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,OH,Wayne County,39169.0,65.0,841.0,-82.70936,40.415534
2128,39173,WOOD,OH,Chronic Kidney Disease,Urban,25,"[10,000+]",25.0,"[10,000+]",33.0,[11-499],17.0,[11-499],27.0,[11-499],,*,22.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,OH,Wood County,39173.0,58.0,970.0,-82.70936,40.415534
2129,39175,WYANDOT,OH,Chronic Kidney Disease,Rural,26,"[1,000-4,999]",26.0,"[1,000-4,999]",,*,29.0,[11-499],43.0,[11-499],,*,,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,OH,Wyandot County,39175.0,11.0,174.0,-82.70936,40.415534
2137,40013,BRYAN,OK,Chronic Kidney Disease,Rural,28,"[5,000-9,999]",28.0,"[5,000-9,999]",33.0,[11-499],,[11-499],25.0,[11-499],30.0,[500-999],36.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,OK,Bryan County,40013.0,21.0,331.0,-97.508297,35.583449
2138,40015,CADDO,OK,Chronic Kidney Disease,Rural,28,"[5,000-9,999]",26.0,"[1,000-4,999]",27.0,[11-499],20.0,[11-499],30.0,[11-499],36.0,[500-999],54.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,OK,Caddo County,40015.0,15.0,197.0,-97.508297,35.583449
2139,40017,CANADIAN,OK,Chronic Kidney Disease,Urban,26,"[10,000+]",26.0,"[10,000+]",35.0,[11-499],28.0,[11-499],27.0,[11-499],28.0,[11-499],21.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,OK,Canadian County,40017.0,11.0,518.0,-97.508297,35.583449
2141,40021,CHEROKEE,OK,Chronic Kidney Disease,Rural,29,"[5,000-9,999]",24.0,"[1,000-4,999]",38.0,[11-499],32.0,[11-499],23.0,[11-499],38.0,"[1,000-4,999]",19.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,OK,Cherokee County,40021.0,12.0,346.0,-97.508297,35.583449
2144,40027,CLEVELAND,OK,Chronic Kidney Disease,Urban,23,"[10,000+]",23.0,"[10,000+]",27.0,[500-999],19.0,[11-499],23.0,[500-999],29.0,"[1,000-4,999]",23.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,OK,Cleveland County,40027.0,109.0,1476.0,-97.508297,35.583449
2146,40031,COMANCHE,OK,Chronic Kidney Disease,Urban,27,"[10,000+]",26.0,"[10,000+]",31.0,"[1,000-4,999]",20.0,[11-499],25.0,[500-999],38.0,[500-999],20.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,OK,Comanche County,40031.0,26.0,775.0,-97.508297,35.583449
2151,40041,DELAWARE,OK,Chronic Kidney Disease,Rural,26,"[5,000-9,999]",24.0,"[5,000-9,999]",47.0,[11-499],18.0,[11-499],15.0,[11-499],37.0,"[1,000-4,999]",19.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,OK,Delaware County,40041.0,24.0,352.0,-97.508297,35.583449
2154,40047,GARFIELD,OK,Chronic Kidney Disease,Rural,27,"[10,000+]",27.0,"[5,000-9,999]",30.0,[11-499],26.0,[11-499],26.0,[11-499],36.0,[11-499],15.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,OK,Garfield County,40047.0,36.0,572.0,-97.508297,35.583449
2156,40051,GRADY,OK,Chronic Kidney Disease,Urban,28,"[5,000-9,999]",28.0,"[5,000-9,999]",34.0,[11-499],50.0,[11-499],31.0,[11-499],32.0,[11-499],31.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,OK,Grady County,40051.0,13.0,319.0,-97.508297,35.583449
2166,40071,KAY,OK,Chronic Kidney Disease,Rural,21,"[5,000-9,999]",20.0,"[5,000-9,999]",25.0,[11-499],24.0,[11-499],18.0,[11-499],30.0,[500-999],15.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,OK,Kay County,40071.0,11.0,325.0,-97.508297,35.583449
2175,40089,MCCURTAIN,OK,Chronic Kidney Disease,Rural,32,"[5,000-9,999]",29.0,"[1,000-4,999]",40.0,[500-999],38.0,[11-499],26.0,[11-499],44.0,[500-999],35.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,OK,McCurtain County,40089.0,13.0,228.0,-97.508297,35.583449
2181,40101,MUSKOGEE,OK,Chronic Kidney Disease,Rural,29,"[10,000+]",27.0,"[5,000-9,999]",36.0,"[1,000-4,999]",24.0,[11-499],34.0,[11-499],35.0,"[1,000-4,999]",28.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,OK,Muskogee County,40101.0,50.0,708.0,-97.508297,35.583449
2185,40109,OKLAHOMA,OK,Chronic Kidney Disease,Urban,28,"[10,000+]",27.0,"[10,000+]",34.0,"[10,000+]",22.0,"[1,000-4,999]",29.0,"[1,000-4,999]",33.0,"[1,000-4,999]",28.0,[500-999],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,OK,Oklahoma County,40109.0,449.0,7759.0,-97.508297,35.583449
2191,40121,PITTSBURG,OK,Chronic Kidney Disease,Rural,24,"[5,000-9,999]",23.0,"[5,000-9,999]",28.0,[11-499],22.0,[11-499],25.0,[11-499],27.0,"[1,000-4,999]",31.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,OK,Pittsburg County,40121.0,20.0,396.0,-97.508297,35.583449
2193,40125,POTTAWATOMIE,OK,Chronic Kidney Disease,Rural,26,"[10,000+]",25.0,"[5,000-9,999]",30.0,[11-499],20.0,[11-499],25.0,[11-499],32.0,"[1,000-4,999]",29.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,OK,Pottawatomie County,40125.0,15.0,578.0,-97.508297,35.583449
2196,40131,ROGERS,OK,Chronic Kidney Disease,Urban,25,"[10,000+]",24.0,"[5,000-9,999]",24.0,[11-499],22.0,[11-499],30.0,[11-499],30.0,"[1,000-4,999]",9.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,OK,Rogers County,40131.0,13.0,557.0,-97.508297,35.583449
2202,40143,TULSA,OK,Chronic Kidney Disease,Urban,26,"[10,000+]",25.0,"[10,000+]",33.0,"[5,000-9,999]",24.0,[500-999],25.0,"[1,000-4,999]",31.0,"[1,000-4,999]",24.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,OK,Tulsa County,40143.0,421.0,6393.0,-97.508297,35.583449
2204,40147,WASHINGTON,OK,Chronic Kidney Disease,Rural,24,"[10,000+]",23.0,"[5,000-9,999]",33.0,[11-499],22.0,[11-499],24.0,[11-499],31.0,[500-999],22.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,OK,Washington County,40147.0,41.0,545.0,-97.508297,35.583449
2207,40153,WOODWARD,OK,Chronic Kidney Disease,Rural,22,"[1,000-4,999]",23.0,"[1,000-4,999]",,*,,*,24.0,[11-499],15.0,[11-499],,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,OK,Woodward County,40153.0,14.0,144.0,-97.508297,35.583449
2210,41005,CLACKAMAS,OR,Chronic Kidney Disease,Urban,19,"[10,000+]",19.0,"[10,000+]",26.0,[11-499],21.0,[500-999],22.0,[500-999],26.0,[11-499],19.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,OR,Clackamas County,41005.0,56.0,2658.0,-120.605279,43.940449
2216,41017,DESCHUTES,OR,Chronic Kidney Disease,Urban,15,"[10,000+]",15.0,"[10,000+]",30.0,[11-499],13.0,[11-499],15.0,[500-999],16.0,[11-499],22.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,OR,Deschutes County,41017.0,22.0,1291.0,-120.605279,43.940449
2227,41039,LANE,OR,Chronic Kidney Disease,Urban,21,"[10,000+]",21.0,"[10,000+]",27.0,[11-499],15.0,[11-499],22.0,[500-999],24.0,[11-499],21.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,OR,Lane County,41039.0,23.0,2992.0,-120.605279,43.940449
2228,41041,LINCOLN,OR,Chronic Kidney Disease,Rural,17,"[10,000+]",16.0,"[10,000+]",28.0,[11-499],10.0,[11-499],22.0,[11-499],25.0,[11-499],11.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,OR,Lincoln County,41041.0,12.0,400.0,-120.605279,43.940449
2229,41043,LINN,OR,Chronic Kidney Disease,Rural,21,"[10,000+]",21.0,"[10,000+]",20.0,[11-499],23.0,[11-499],25.0,[11-499],18.0,[11-499],25.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,OR,Linn County,41043.0,16.0,1058.0,-120.605279,43.940449
2230,41045,MALHEUR,OR,Chronic Kidney Disease,Rural,22,"[5,000-9,999]",20.0,"[1,000-4,999]",17.0,[11-499],26.0,[11-499],31.0,[500-999],17.0,[11-499],27.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,OR,Malheur County,41045.0,10.0,223.0,-120.605279,43.940449
2231,41047,MARION,OR,Chronic Kidney Disease,Urban,22,"[10,000+]",21.0,"[10,000+]",25.0,[11-499],27.0,[11-499],24.0,"[1,000-4,999]",24.0,[11-499],20.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,OR,Marion County,41047.0,85.0,2195.0,-120.605279,43.940449
2233,41051,MULTNOMAH,OR,Chronic Kidney Disease,Urban,20,"[10,000+]",19.0,"[10,000+]",28.0,"[1,000-4,999]",23.0,"[1,000-4,999]",24.0,"[1,000-4,999]",24.0,[11-499],22.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,OR,Multnomah County,41051.0,199.0,5261.0,-120.605279,43.940449
2237,41059,UMATILLA,OR,Chronic Kidney Disease,Rural,24,"[10,000+]",23.0,"[10,000+]",35.0,[11-499],17.0,[11-499],25.0,[500-999],29.0,[11-499],32.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,OR,Umatilla County,41059.0,32.0,476.0,-120.605279,43.940449
2240,41065,WASCO,OR,Chronic Kidney Disease,Rural,17,"[1,000-4,999]",17.0,"[1,000-4,999]",,*,13.0,[11-499],18.0,[11-499],17.0,[11-499],21.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,OR,Wasco County,41065.0,13.0,239.0,-120.605279,43.940449
2241,41067,WASHINGTON,OR,Chronic Kidney Disease,Urban,21,"[10,000+]",20.0,"[10,000+]",28.0,[11-499],21.0,"[1,000-4,999]",24.0,"[1,000-4,999]",20.0,[11-499],22.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,OR,Washington County,41067.0,100.0,2780.0,-120.605279,43.940449
2243,41071,YAMHILL,OR,Chronic Kidney Disease,Urban,23,"[5,000-9,999]",22.0,"[5,000-9,999]",44.0,[11-499],22.0,[11-499],31.0,[11-499],35.0,[11-499],35.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,OR,Yamhill County,41071.0,13.0,691.0,-120.605279,43.940449
2244,42001,ADAMS,PA,Chronic Kidney Disease,Rural,23,"[10,000+]",23.0,"[10,000+]",28.0,[11-499],16.0,[11-499],17.0,[11-499],,*,23.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Adams County,42001.0,15.0,684.0,-77.838886,40.896694
2245,42003,ALLEGHENY,PA,Chronic Kidney Disease,Urban,22,"[10,000+]",21.0,"[10,000+]",29.0,"[5,000-9,999]",18.0,[500-999],19.0,[500-999],29.0,[11-499],22.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Allegheny County,42003.0,504.0,12858.0,-77.838886,40.896694
2246,42005,ARMSTRONG,PA,Chronic Kidney Disease,Urban,24,"[5,000-9,999]",24.0,"[5,000-9,999]",20.0,[11-499],,*,,*,,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Armstrong County,42005.0,17.0,486.0,-77.838886,40.896694
2247,42007,BEAVER,PA,Chronic Kidney Disease,Urban,23,"[10,000+]",22.0,"[10,000+]",31.0,[500-999],18.0,[11-499],25.0,[11-499],,*,21.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Beaver County,42007.0,141.0,1530.0,-77.838886,40.896694
2249,42011,BERKS,PA,Chronic Kidney Disease,Urban,26,"[10,000+]",26.0,"[10,000+]",30.0,"[1,000-4,999]",21.0,[11-499],27.0,"[1,000-4,999]",40.0,[11-499],24.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Berks County,42011.0,406.0,3240.0,-77.838886,40.896694
2250,42013,BLAIR,PA,Chronic Kidney Disease,Urban,23,"[10,000+]",23.0,"[10,000+]",29.0,[11-499],18.0,[11-499],13.0,[11-499],,*,27.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Blair County,42013.0,37.0,1485.0,-77.838886,40.896694
2251,42015,BRADFORD,PA,Chronic Kidney Disease,Rural,21,"[5,000-9,999]",21.0,"[5,000-9,999]",28.0,[11-499],39.0,[11-499],15.0,[11-499],,*,11.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Bradford County,42015.0,28.0,680.0,-77.838886,40.896694
2252,42017,BUCKS,PA,Chronic Kidney Disease,Urban,24,"[10,000+]",24.0,"[10,000+]",32.0,"[1,000-4,999]",26.0,"[1,000-4,999]",24.0,"[1,000-4,999]",54.0,[11-499],27.0,[500-999],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Bucks County,42017.0,600.0,5008.0,-77.838886,40.896694
2253,42019,BUTLER,PA,Chronic Kidney Disease,Urban,22,"[10,000+]",22.0,"[10,000+]",24.0,[11-499],18.0,[11-499],21.0,[11-499],,*,19.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Butler County,42019.0,15.0,1444.0,-77.838886,40.896694
2256,42025,CARBON,PA,Chronic Kidney Disease,Urban,26,"[10,000+]",26.0,"[10,000+]",33.0,[11-499],23.0,[11-499],23.0,[11-499],,*,25.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Carbon County,42025.0,20.0,498.0,-77.838886,40.896694
2257,42027,CENTRE,PA,Chronic Kidney Disease,Urban,26,"[10,000+]",26.0,"[10,000+]",32.0,[11-499],11.0,[11-499],24.0,[11-499],,*,21.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Centre County,42027.0,17.0,787.0,-77.838886,40.896694
2258,42029,CHESTER,PA,Chronic Kidney Disease,Urban,21,"[10,000+]",20.0,"[10,000+]",32.0,"[1,000-4,999]",21.0,[500-999],23.0,"[1,000-4,999]",,*,25.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Chester County,42029.0,431.0,3550.0,-77.838886,40.896694
2260,42033,CLEARFIELD,PA,Chronic Kidney Disease,Rural,27,"[10,000+]",27.0,"[10,000+]",38.0,[11-499],33.0,[11-499],28.0,[11-499],,*,33.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Clearfield County,42033.0,11.0,719.0,-77.838886,40.896694
2262,42037,COLUMBIA,PA,Chronic Kidney Disease,Rural,27,"[5,000-9,999]",27.0,"[5,000-9,999]",19.0,[11-499],28.0,[11-499],30.0,[11-499],,*,31.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Columbia County,42037.0,27.0,362.0,-77.838886,40.896694
2264,42041,CUMBERLAND,PA,Chronic Kidney Disease,Urban,25,"[10,000+]",25.0,"[10,000+]",24.0,[11-499],19.0,[11-499],27.0,[11-499],,*,26.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Cumberland County,42041.0,113.0,2028.0,-77.838886,40.896694
2265,42043,DAUPHIN,PA,Chronic Kidney Disease,Urban,27,"[10,000+]",26.0,"[10,000+]",35.0,"[1,000-4,999]",23.0,[11-499],28.0,[500-999],,*,24.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Dauphin County,42043.0,215.0,2728.0,-77.838886,40.896694
2266,42045,DELAWARE,PA,Chronic Kidney Disease,Urban,23,"[10,000+]",22.0,"[10,000+]",31.0,"[5,000-9,999]",23.0,"[1,000-4,999]",19.0,[500-999],20.0,[11-499],19.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Delaware County,42045.0,767.0,4420.0,-77.838886,40.896694
2268,42049,ERIE,PA,Chronic Kidney Disease,Urban,23,"[10,000+]",23.0,"[10,000+]",32.0,"[1,000-4,999]",16.0,[11-499],26.0,[11-499],,*,28.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Erie County,42049.0,53.0,2522.0,-77.838886,40.896694
2269,42051,FAYETTE,PA,Chronic Kidney Disease,Urban,25,"[10,000+]",25.0,"[10,000+]",32.0,[11-499],23.0,[11-499],28.0,[11-499],,*,36.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Fayette County,42051.0,13.0,1036.0,-77.838886,40.896694
2271,42055,FRANKLIN,PA,Chronic Kidney Disease,Rural,28,"[10,000+]",27.0,"[10,000+]",32.0,[500-999],20.0,[11-499],26.0,[11-499],,*,30.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Franklin County,42055.0,58.0,1267.0,-77.838886,40.896694
2274,42061,HUNTINGDON,PA,Chronic Kidney Disease,Rural,23,"[5,000-9,999]",23.0,"[5,000-9,999]",22.0,[11-499],,*,17.0,[11-499],,*,33.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Huntingdon County,42061.0,12.0,287.0,-77.838886,40.896694
2275,42063,INDIANA,PA,Chronic Kidney Disease,Rural,22,"[5,000-9,999]",22.0,"[5,000-9,999]",27.0,[11-499],30.0,[11-499],22.0,[11-499],,*,21.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Indiana County,42063.0,12.0,644.0,-77.838886,40.896694
2278,42069,LACKAWANNA,PA,Chronic Kidney Disease,Urban,23,"[10,000+]",23.0,"[10,000+]",25.0,[11-499],22.0,[11-499],21.0,[500-999],21.0,[11-499],23.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Lackawanna County,42069.0,245.0,2490.0,-77.838886,40.896694
2279,42071,LANCASTER,PA,Chronic Kidney Disease,Urban,27,"[10,000+]",27.0,"[10,000+]",34.0,"[1,000-4,999]",25.0,[500-999],28.0,"[1,000-4,999]",,[11-499],26.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Lancaster County,42071.0,457.0,4282.0,-77.838886,40.896694
2280,42073,LAWRENCE,PA,Chronic Kidney Disease,Rural,26,"[5,000-9,999]",26.0,"[5,000-9,999]",36.0,[11-499],16.0,[11-499],27.0,[11-499],,*,29.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Lawrence County,42073.0,31.0,836.0,-77.838886,40.896694
2281,42075,LEBANON,PA,Chronic Kidney Disease,Urban,25,"[10,000+]",24.0,"[10,000+]",24.0,[11-499],26.0,[11-499],31.0,[500-999],,*,26.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Lebanon County,42075.0,61.0,1127.0,-77.838886,40.896694
2282,42077,LEHIGH,PA,Chronic Kidney Disease,Urban,27,"[10,000+]",27.0,"[10,000+]",32.0,"[1,000-4,999]",20.0,[500-999],28.0,"[1,000-4,999]",23.0,[11-499],27.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Lehigh County,42077.0,533.0,4060.0,-77.838886,40.896694
2283,42079,LUZERNE,PA,Chronic Kidney Disease,Urban,26,"[10,000+]",26.0,"[10,000+]",32.0,[500-999],21.0,[11-499],26.0,"[1,000-4,999]",,*,24.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Luzerne County,42079.0,196.0,3214.0,-77.838886,40.896694
2284,42081,LYCOMING,PA,Chronic Kidney Disease,Urban,28,"[10,000+]",28.0,"[10,000+]",29.0,[11-499],19.0,[11-499],25.0,[11-499],,*,32.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Lycoming County,42081.0,36.0,1096.0,-77.838886,40.896694
2286,42085,MERCER,PA,Chronic Kidney Disease,Urban,25,"[10,000+]",25.0,"[10,000+]",35.0,[500-999],23.0,[11-499],20.0,[11-499],,*,20.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Mercer County,42085.0,26.0,1027.0,-77.838886,40.896694
2288,42089,MONROE,PA,Chronic Kidney Disease,Rural,25,"[10,000+]",24.0,"[10,000+]",31.0,"[1,000-4,999]",19.0,[11-499],25.0,"[1,000-4,999]",,*,27.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Monroe County,42089.0,114.0,1130.0,-77.838886,40.896694
2289,42091,MONTGOMERY,PA,Chronic Kidney Disease,Urban,23,"[10,000+]",23.0,"[10,000+]",32.0,"[5,000-9,999]",27.0,"[1,000-4,999]",25.0,"[1,000-4,999]",21.0,[11-499],22.0,[500-999],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Montgomery County,42091.0,1171.0,7379.0,-77.838886,40.896694
2290,42093,MONTOUR,PA,Chronic Kidney Disease,Rural,29,"[1,000-4,999]",28.0,"[1,000-4,999]",56.0,[11-499],,[11-499],35.0,[11-499],,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Montour County,42093.0,68.0,1010.0,-77.838886,40.896694
2291,42095,NORTHAMPTON,PA,Chronic Kidney Disease,Urban,27,"[10,000+]",27.0,"[10,000+]",36.0,"[1,000-4,999]",25.0,[11-499],27.0,"[1,000-4,999]",,*,24.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Northampton County,42095.0,279.0,2306.0,-77.838886,40.896694
2292,42097,NORTHUMBERLND,PA,Chronic Kidney Disease,Rural,29,"[10,000+]",29.0,"[10,000+]",32.0,[11-499],29.0,[11-499],29.0,[11-499],,*,29.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Northumberland County,42097.0,87.0,740.0,-77.838886,40.896694
2294,42101,PHILADELPHIA,PA,Chronic Kidney Disease,Urban,28,"[10,000+]",25.0,"[10,000+]",33.0,"[10,000+]",24.0,"[5,000-9,999]",28.0,"[5,000-9,999]",24.0,[11-499],29.0,[500-999],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Philadelphia County,42101.0,1721.0,13484.0,-77.838886,40.896694
2295,42103,PIKE,PA,Chronic Kidney Disease,Urban,23,"[5,000-9,999]",23.0,"[5,000-9,999]",31.0,[11-499],26.0,[11-499],22.0,[11-499],,*,18.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Pike County,42103.0,13.0,242.0,-77.838886,40.896694
2297,42107,SCHUYLKILL,PA,Chronic Kidney Disease,Rural,26,"[10,000+]",26.0,"[10,000+]",20.0,[11-499],16.0,[11-499],23.0,[11-499],,*,26.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Schuylkill County,42107.0,60.0,1271.0,-77.838886,40.896694
2298,42109,SNYDER,PA,Chronic Kidney Disease,Rural,28,"[1,000-4,999]",28.0,"[1,000-4,999]",39.0,[11-499],29.0,[11-499],,[11-499],,*,,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Snyder County,42109.0,11.0,195.0,-77.838886,40.896694
2301,42115,SUSQUEHANNA,PA,Chronic Kidney Disease,Rural,19,"[5,000-9,999]",19.0,"[5,000-9,999]",29.0,[11-499],31.0,[11-499],9.0,[11-499],,*,32.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Susquehanna County,42115.0,35.0,341.0,-77.838886,40.896694
2303,42119,UNION,PA,Chronic Kidney Disease,Rural,21,"[1,000-4,999]",21.0,"[1,000-4,999]",26.0,[11-499],21.0,[11-499],25.0,[11-499],,*,13.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Union County,42119.0,15.0,347.0,-77.838886,40.896694
2306,42125,WASHINGTON,PA,Chronic Kidney Disease,Urban,23,"[10,000+]",22.0,"[10,000+]",33.0,[11-499],21.0,[11-499],20.0,[11-499],,*,34.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Washington County,42125.0,27.0,1825.0,-77.838886,40.896694
2307,42127,WAYNE,PA,Chronic Kidney Disease,Rural,20,"[10,000+]",20.0,"[10,000+]",30.0,[11-499],18.0,[11-499],17.0,[11-499],,*,25.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Wayne County,42127.0,12.0,436.0,-77.838886,40.896694
2308,42129,WESTMORELAND,PA,Chronic Kidney Disease,Urban,24,"[10,000+]",23.0,"[10,000+]",31.0,[500-999],30.0,[11-499],22.0,[11-499],,*,30.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Westmoreland County,42129.0,81.0,2800.0,-77.838886,40.896694
2310,42133,YORK,PA,Chronic Kidney Disease,Urban,26,"[10,000+]",26.0,"[10,000+]",32.0,"[1,000-4,999]",22.0,[11-499],25.0,"[1,000-4,999]",,[11-499],25.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,York County,42133.0,206.0,3405.0,-77.838886,40.896694
2313,44003,KENT,RI,Chronic Kidney Disease,Urban,24,"[10,000+]",24.0,"[10,000+]",35.0,[11-499],22.0,[11-499],23.0,[11-499],29.0,[11-499],25.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,RI,Kent County,44003.0,119.0,1220.0,-71.534637,41.572574
2315,44007,PROVIDENCE,RI,Chronic Kidney Disease,Urban,25,"[10,000+]",24.0,"[10,000+]",29.0,"[1,000-4,999]",24.0,[500-999],23.0,"[1,000-4,999]",15.0,[11-499],23.0,[500-999],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,RI,Providence County,44007.0,937.0,5670.0,-71.534637,41.572574
2316,44009,WASHINGTON,RI,Chronic Kidney Disease,Urban,20,"[10,000+]",20.0,"[10,000+]",43.0,[11-499],15.0,[11-499],21.0,[11-499],33.0,[11-499],22.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,RI,Washington County,44009.0,62.0,852.0,-71.534637,41.572574
